country,state,year,quarter,district_name,transaction_count,total_amount
india,arunachal-pradesh,2018,Q2,namsai district,3230,6271811
india,arunachal-pradesh,2018,Q3,lower dibang valley district,2824,6074558
india,arunachal-pradesh,2018,Q3,lower subansiri district,2346,5154231
india,arunachal-pradesh,2018,Q3,longding district,5288,18327334
india,arunachal-pradesh,2018,Q3,west siang district,3337,12966152
india,arunachal-pradesh,2018,Q3,kamle district,93,30504
india,arunachal-pradesh,2018,Q3,upper siang district,250,743956
india,arunachal-pradesh,2018,Q3,tirap district,3322,7479257
india,arunachal-pradesh,2018,Q3,papum pare district,43282,101080479
india,arunachal-pradesh,2018,Q3,kurung kumey district,255,303027
india,arunachal-pradesh,2018,Q3,anjaw district,13,95403
india,arunachal-pradesh,2018,Q3,siang district,615,2141734
india,arunachal-pradesh,2018,Q3,lower siang district,2625,3045590
india,arunachal-pradesh,2018,Q3,kra daadi district,436,1606758
india,arunachal-pradesh,2018,Q3,changlang district,10162,20494174
india,arunachal-pradesh,2018,Q3,pakke kessang district,165,305164
india,arunachal-pradesh,2018,Q3,dibang valley district,29,196466
india,arunachal-pradesh,2018,Q3,west kameng district,17026,48528147
india,arunachal-pradesh,2018,Q3,east siang district,10539,24885270
india,arunachal-pradesh,2018,Q3,upper subansiri district,1601,4223297
india,arunachal-pradesh,2018,Q3,east kameng district,1029,3132863
india,arunachal-pradesh,2018,Q3,lohit district,11595,32702331
india,arunachal-pradesh,2018,Q3,lepa rada district,523,1777602
india,arunachal-pradesh,2018,Q3,tawang district,8715,25733824
india,arunachal-pradesh,2018,Q3,namsai district,5076,10698272
india,arunachal-pradesh,2018,Q4,lower dibang valley district,4227,10951332
india,arunachal-pradesh,2018,Q4,lower subansiri district,3735,8884930
india,arunachal-pradesh,2018,Q4,longding district,6581,22545311
india,arunachal-pradesh,2018,Q4,west siang district,3813,14013986
india,arunachal-pradesh,2018,Q4,kamle district,247,361497
india,arunachal-pradesh,2018,Q4,upper siang district,1041,2157332
india,arunachal-pradesh,2018,Q4,tirap district,5725,10811742
india,arunachal-pradesh,2018,Q4,papum pare district,55224,154875448
india,arunachal-pradesh,2018,Q4,kurung kumey district,444,759686
india,arunachal-pradesh,2018,Q4,anjaw district,273,495578
india,arunachal-pradesh,2018,Q4,siang district,822,2176630
india,arunachal-pradesh,2018,Q4,lower siang district,2883,4533291
india,arunachal-pradesh,2018,Q4,kra daadi district,750,3254327
india,arunachal-pradesh,2018,Q4,changlang district,13950,32343047
india,arunachal-pradesh,2018,Q4,pakke kessang district,297,462143
india,arunachal-pradesh,2018,Q4,dibang valley district,40,97205
india,arunachal-pradesh,2018,Q4,west kameng district,25439,89194886
india,arunachal-pradesh,2018,Q4,shi yomi district,61,42483
india,arunachal-pradesh,2018,Q4,east siang district,12893,34272134
india,arunachal-pradesh,2018,Q4,upper subansiri district,2686,8771042
india,arunachal-pradesh,2018,Q4,east kameng district,1750,5936855
india,arunachal-pradesh,2018,Q4,lohit district,14268,40510521
india,arunachal-pradesh,2018,Q4,lepa rada district,932,3023578
india,arunachal-pradesh,2018,Q4,tawang district,11104,35921510
india,arunachal-pradesh,2018,Q4,namsai district,7244,17643523
india,arunachal-pradesh,2019,Q1,lower dibang valley district,6314,13738776
