country,state,year,quarter,states,registered_users,apps_opened
india,arunachal-pradesh,2018,Q2,lower subansiri district,724,0
india,arunachal-pradesh,2018,Q2,tirap district,856,0
india,arunachal-pradesh,2018,Q2,papum pare district,11418,0
india,arunachal-pradesh,2018,Q2,anjaw district,410,0
india,arunachal-pradesh,2018,Q2,lower siang district,494,0
india,arunachal-pradesh,2018,Q2,dibang valley district,112,0
india,arunachal-pradesh,2018,Q2,west kameng district,3442,0
india,arunachal-pradesh,2018,Q2,shi yomi district,80,0
india,arunachal-pradesh,2018,Q2,east kameng district,343,0
india,arunachal-pradesh,2018,Q2,lohit district,1898,0
india,arunachal-pradesh,2018,Q2,lepa rada district,318,0
india,arunachal-pradesh,2018,Q2,lower dibang valley district,893,0
india,arunachal-pradesh,2018,Q2,longding district,412,0
india,arunachal-pradesh,2018,Q2,west siang district,1224,0
india,arunachal-pradesh,2018,Q2,kamle district,37,0
india,arunachal-pradesh,2018,Q2,upper siang district,481,0
india,arunachal-pradesh,2018,Q2,kurung kumey district,153,0
india,arunachal-pradesh,2018,Q2,siang district,293,0
india,arunachal-pradesh,2018,Q2,kra daadi district,144,0
india,arunachal-pradesh,2018,Q2,changlang district,2014,0
india,arunachal-pradesh,2018,Q2,pakke kessang district,66,0
india,arunachal-pradesh,2018,Q2,east siang district,2646,0
india,arunachal-pradesh,2018,Q2,upper subansiri district,883,0
india,arunachal-pradesh,2018,Q2,tawang district,2266,0
india,arunachal-pradesh,2018,Q2,namsai district,1276,0
india,arunachal-pradesh,2018,Q3,lower subansiri district,1033,0
india,arunachal-pradesh,2018,Q3,tirap district,1226,0
india,arunachal-pradesh,2018,Q3,papum pare district,16009,0
india,arunachal-pradesh,2018,Q3,anjaw district,542,0
india,arunachal-pradesh,2018,Q3,lower siang district,717,0
india,arunachal-pradesh,2018,Q3,dibang valley district,145,0
india,arunachal-pradesh,2018,Q3,west kameng district,4765,0
india,arunachal-pradesh,2018,Q3,shi yomi district,118,0
india,arunachal-pradesh,2018,Q3,east kameng district,521,0
india,arunachal-pradesh,2018,Q3,lohit district,2612,0
india,arunachal-pradesh,2018,Q3,lepa rada district,431,0
india,arunachal-pradesh,2018,Q3,lower dibang valley district,1286,0
india,arunachal-pradesh,2018,Q3,longding district,644,0
india,arunachal-pradesh,2018,Q3,west siang district,1652,0
india,arunachal-pradesh,2018,Q3,kamle district,65,0
india,arunachal-pradesh,2018,Q3,upper siang district,646,0
india,arunachal-pradesh,2018,Q3,kurung kumey district,222,0
india,arunachal-pradesh,2018,Q3,siang district,373,0
india,arunachal-pradesh,2018,Q3,kra daadi district,190,0
india,arunachal-pradesh,2018,Q3,changlang district,2889,0
