country,state,year,quarter,transaction_type,transaction_count,total_amount
India,andhra-pradesh,2018,Q1,Peer-to-peer payments,3049646,10524250283
India,andhra-pradesh,2018,Q1,Merchant payments,362672,247297640
India,andhra-pradesh,2018,Q1,Financial Services,204305,44808449
India,andhra-pradesh,2018,Q1,Others,395514,287626042
India,andhra-pradesh,2018,Q2,Recharge & bill payments,6456387,1598591488
India,andhra-pradesh,2018,Q2,Peer-to-peer payments,4745000,20451493098
India,andhra-pradesh,2018,Q2,Merchant payments,604847,436785223
India,andhra-pradesh,2018,Q2,Financial Services,225621,68952114
India,andhra-pradesh,2018,Q2,Others,322063,328092346
India,andhra-pradesh,2018,Q3,Peer-to-peer payments,16129591,32738630444
India,andhra-pradesh,2018,Q3,Recharge & bill payments,7542005,1949098146
India,andhra-pradesh,2018,Q3,Merchant payments,1225416,685277254
India,andhra-pradesh,2018,Q3,Financial Services,380324,60790077
India,andhra-pradesh,2018,Q3,Others,348725,284248675
India,andhra-pradesh,2018,Q4,Peer-to-peer payments,17580086,47011639726
India,andhra-pradesh,2018,Q4,Recharge & bill payments,9767083,2418164314
India,andhra-pradesh,2018,Q4,Merchant payments,2622131,1671585888
India,andhra-pradesh,2018,Q4,Financial Services,400837,57178116
India,andhra-pradesh,2018,Q4,Others,389411,315211361
India,andhra-pradesh,2019,Q1,Peer-to-peer payments,37420988,77524329742
India,andhra-pradesh,2019,Q1,Recharge & bill payments,14022264,3480641602
India,andhra-pradesh,2019,Q1,Merchant payments,5043682,2423536770
India,andhra-pradesh,2019,Q1,Financial Services,416325,47150177
India,andhra-pradesh,2019,Q1,Others,361263,284937624
India,andhra-pradesh,2019,Q2,Peer-to-peer payments,32494402,103924649232
India,andhra-pradesh,2019,Q2,Recharge & bill payments,14093964,4708345387
India,andhra-pradesh,2019,Q2,Merchant payments,9226537,4613405202
India,andhra-pradesh,2019,Q2,Financial Services,145310,26626696
India,andhra-pradesh,2019,Q2,Others,448802,361492238
India,andhra-pradesh,2019,Q3,Peer-to-peer payments,39023491,124338645329
India,andhra-pradesh,2019,Q3,Recharge & bill payments,20147629,6893984676
India,andhra-pradesh,2019,Q3,Merchant payments,16581787,7887394038
India,andhra-pradesh,2019,Q3,Financial Services,122270,29778183
India,andhra-pradesh,2019,Q3,Others,413437,298142027
India,andhra-pradesh,2019,Q4,Peer-to-peer payments,57181511,178893550050
India,andhra-pradesh,2019,Q4,Merchant payments,25122370,13476303367
India,andhra-pradesh,2019,Q4,Recharge & bill payments,24469888,8335168605
India,andhra-pradesh,2019,Q4,Financial Services,105662,26796571
India,andhra-pradesh,2019,Q4,Others,338672,216496893
India,andhra-pradesh,2020,Q1,Peer-to-peer payments,65452143,223088554055
India,andhra-pradesh,2020,Q1,Merchant payments,31408022,18603161784
India,andhra-pradesh,2020,Q1,Recharge & bill payments,30449644,10813530777
India,andhra-pradesh,2020,Q1,Financial Services,75238,43739133
India,andhra-pradesh,2020,Q1,Others,292310,188228538
India,andhra-pradesh,2020,Q2,Peer-to-peer payments,73609921,262731724130
India,andhra-pradesh,2020,Q2,Recharge & bill payments,41013987,16991006436
India,andhra-pradesh,2020,Q2,Merchant payments,29976765,22625596525
India,andhra-pradesh,2020,Q2,Financial Services,140941,145274999
India,andhra-pradesh,2020,Q2,Others,176241,90087654
India,andhra-pradesh,2020,Q3,Peer-to-peer payments,106791894,406461788252
India,andhra-pradesh,2020,Q3,Merchant payments,54055557,40739580213
India,andhra-pradesh,2020,Q3,Recharge & bill payments,43500067,19475104674
India,andhra-pradesh,2020,Q3,Financial Services,243088,256074924
India,andhra-pradesh,2020,Q3,Others,312329,151582519
India,andhra-pradesh,2020,Q4,Peer-to-peer payments,152003791,566639138543
